country,countryterritoryCode,Dt_cases,Dt_deaths
Algeria,DZA,4.2,4
Angola,AGO,3.5,0
Benin,BEN,5.1,0
Botswana,BWA,0,0
Burkina Faso,BFA,8.4,3.1
Burundi,BDI,0,0
Cameroon,CMR,0,2.7
Cape Verde,CPV,0,0
Central African Republic,CAF,10.3,0
Chad,TCD,5.7,0
Comoros,COM,0,0
Congo,COG,2.8,0
Cote dIvoire,CIV,5.6,0
Democratic Republic of the Congo,COD,5.5,3.7
Equatorial Guinea,GNQ,5.7,0
Eritrea,ERI,3.7,0
Eswatini,SWZ,6,0
Ethiopia,ETH,6.3,0
Gabon,GAB,0,0
Gambia,GMB,0,0
Ghana,GHA,4.6,0
Guinea,GIN,2.4,0
Guinea Bissau,GNB,3.2,0
Kenya,KEN,4.1,0
Lesotho,LSO,0,0
Liberia,LBR,7,0
Madagascar,MDG,4.7,0
Malawi,MWI,0,0
Mali,MLI,1.8,0
Mauritania,MRT,5.3,0
Mauritius,MUS,4.1,5.3
Mozambique,MOZ,7,0
Namibia,NAM,6.2,0
Niger,NER,1.3,2.6
Nigeria,NGA,4.4,0
Rwanda,RWA,7,0
Sao Tome and Principe,STP,0,0
Senegal,SEN,7.4,0
Seychelles,SYC,13.6,0
Sierra Leone,SLE,0,0
South Africa,ZAF,7.3,0
South Sudan,SSD,0,0
Togo,TGO,10.8,0
Uganda,UGA,4.2,0
United Republic of Tanzania,TZA,11.3,0
Zambia,ZMB,2,0
Zimbabwe,ZWE,3.5,0
