1,ALG,Algeria,DZA,Algeria 
2,ANG,Angola,AGO,Angola 
3,BEN,Benin,BEN,Benin 
4,BOT,Botswana,BWA,Botswana 
5,BUF,Burkina Faso,BFA,Burkina Faso 
6,BUR,Burundi,BDI,Burundi 
7,CAM,Cameroon,CMR,Cabo Verde 
8,CAP,Cape Verde,CPV,Cameroon 
9,CAR,Central African Republic,CAF,Central African Republic 
10,CHA,Chad,TCD,Chad 
11,COM,Comoros,COM,Comoros 
12,CNG,Congo-Brazzaville,COG,Congo 
13,CDI,Cote d`Ivoire,CIV,Cote d'Ivoire 
14,COD,Democratic Republic of Congo,COD,Democratic Republic of Congo 
15,DJI,Djibouti,DJI,
16,EGY,Egypt,EGY,
17,EQG,Equatorial Guinea,GNQ,Equatorial Guinea 
18,ERI,Eritrea,ERI,Eritrea 
19,ETH,Ethiopia,ETH,Ethiopia 
20,GAB,Gabon,GAB,Gabon 
21,GAM,Gambia,GMB,Gambia 
22,GHA,Ghana,GHA,Ghana 
23,GIN,Guinea,GIN,Guinea 
24,GUB,Guinea-Bissau,GNB,Guinea Bissau 
25,KEN,Kenya,KEN,Kenya 
26,LES,Lesotho,LSO,Lesotho 
27,LIB,Liberia,LBR,Liberia 
28,MAA,Libya,LBY,
29,MAD,Madagascar,MDG,Madagascar 
30,MAL,Malawi,MWI,Malawi 
31,MLI,Mali,MLI,Mali 
32,MAU,Mauritania,MRT,Mauritania 
33,MOR,Morocco,MAR,
34,MOZ,Mozambique,MOZ,Mozambique 
35,NAM,Namibia,NAM,Namibia
36,NIG,Niger,NER,Niger 
37,NIR,Nigeria,NGA,Nigeria 
38,RWA,Rwanda,RWA,Rwanda 
39,STP,Sao Tome and Principe,STP,Sao Tome and Principe 
40,SEN,Senegal,SEN,Senegal 
41,SIL,Sierra Leone,SLE,Sierra Leone 
42,SOM,Somalia,SOM,
43,SOU,South Africa,ZAF,South Africa 
44,SUD,Sudan,SDN,South Sudan 
45,SWA,Swaziland,SWZ,Eswatini
46,TAN,Tanzania,TZA,United Republic of Tanzania 
47,TOG,Togo,TGO,Togo 
48,TUN,Tunisia,TUN,
49,UGA,Uganda,UGA,Uganda 
50,ZAM,Zambia,ZMB,Zambia 
51,ZIM,Zimbabwe,ZWE,Zimbabwe
52,MUS,Mauritius,MUS,Mauritius 
53,SYC,Seychelles,SYC,Seychelles 
"Showing 40 to 53 of 53 entries, 3 total columns",,,,
