Map_Code,Map_Country_Name,ISO3
ALG,Algeria,DZA
ANG,Angola,AGO
BEN,Benin,BEN
BOT,Botswana,BWA
BUF,Burkina Faso,BFA
BUR,Burundi,BDI
CAM,Cameroon,CMR
CAP,Cape Verde,CPV
CAR,Central African Republic,CAF
CDI,Chad,TCD
CHA,Comoros,COM
CNG,Congo-Brazzaville,COG
COM,Cote d`Ivoire,CIV
DJI,Democratic Republic of Congo,COD
EGY,Djibouti,DJI
EQG,Egypt,EGY
ERI,Equatorial Guinea,GNQ
ETH,Eritrea,ERI
GAB,Ethiopia,ETH
GAM,Gabon,GAB
GHA,Gambia,GMB
GIN,Ghana,GHA
GUB,Guinea,GIN
KEN,Guinea-Bissau,GNB
LAJ,Kenya,KEN
LES,Lesotho,LSO
LIB,Liberia,LBR
MAA,Libya,LBY
MAD,Madagascar,MDG
MAL,Malawi,MWI
MAU,Mali,MLI
MOR,Mauritania,MRT
MOZ,Morocco,MAR
NAM,Mozambique,MOZ
NIG,Namibia,NAM
NIR,Niger,NER
RWA,Nigeria,NGA
SEN,Rwanda,RWA
SIL,Sao Tome and Principe,STP
SOM,Senegal,SEN
SOU,Sierra Leone,SLE
STP,Somalia,SOM
SUD,South Africa,ZAF
SWA,Sudan,SDN
TAN,Swaziland,SWZ
TOG,Tanzania,TZA
TUN,Togo,TGO
UGA,Tunisia,TUN
WES,Uganda,UGA
ZAM,Zambia,ZMB
ZIM,Zimbabwe,ZWE
